year,type,continent,country,value,adj_value
2015,Exports,Europe,Serbia,126.25142,126.25142
2015,Exports,Europe,Kosovo,19.743318,19.743318
2015,Exports,Europe,Montenegro,11.133957,11.133957
2015,Exports,Europe,Albania,30.952665,30.952665
2015,Exports,Europe,Greece,725.699147,725.699147
2015,Exports,Europe,Romania,753.718827,753.718827
2015,Exports,Europe,Bulgaria,289.09201,289.09201
2015,Exports,Asia,Turkey,9502.498123,9502.498123
2015,Exports,Asia,Cyprus,101.831614,101.831614
2015,Exports,Asia,Syria,3.072304,3.072304
2015,Exports,Asia,Lebanon,1272.487166,1272.487166
2015,Exports,Asia,Iraq,1971.478767,1971.478767
2015,Exports,Asia,Iran,281.512074,281.512074
2015,Exports,Asia,Israel,13538.69482,13538.69482
2015,Exports,Asia,Gaza Strip admin. by Israel,0.183934,0.183934
2015,Exports,Asia,West Bank admin. by Israel,0.903282,0.903282
2015,Exports,Asia,Jordan,1358.977191,1358.977191
2015,Exports,Asia,Kuwait,2739.289578,2739.289578
2015,Exports,Asia,Saudi Arabia,19738.98459,19738.98459
2015,Exports,Asia,Qatar,4222.426394,4222.426394
2015,Exports,Asia,United Arab Emirates,23003.59562,23003.59562
2015,Exports,Asia,Republic of Yemen,158.039977,158.039977
2015,Exports,Asia,Oman,2355.271013,2355.271013
2015,Exports,Asia,Bahrain,1270.662445,1270.662445
2015,Exports,Asia,Afghanistan,478.851271,478.851271
2015,Exports,Asia,India,21451.87992,21451.87992
2015,Exports,Asia,Pakistan,1837.506933,1837.506933
2015,Exports,Asia,Nepal,36.405446,36.405446
2015,Exports,Asia,Bangladesh,942.540067,942.540067
2015,Exports,Asia,Sri Lanka,361.920786,361.920786
2015,Exports,Asia,Burma,227.140755,227.140755
2015,Exports,Asia,Thailand,11230.56974,11230.56974
2015,Exports,Asia,Vietnam,7087.524038,7087.524038
2015,Exports,Asia,Laos,24.584007,24.584007
2015,Exports,Asia,Cambodia,391.045876,391.045876
2015,Exports,Asia,Malaysia,12277.22614,12277.22614
2015,Exports,Asia,Singapore,28472.07098,28472.07098
2015,Exports,Asia,Indonesia,7120.940688,7120.940688
2015,Exports,Asia,East Timor,2.690584,2.690584
2015,Exports,Asia,Brunei,133.449998,133.449998
2015,Exports,Asia,Philippines,7907.893167,7907.893167
2015,Exports,Asia,Macau,542.354584,542.354584
2015,Exports,Asia,Bhutan,2.64104,2.64104
2015,Exports,Asia,Maldives,35.143208,35.143208
2015,Exports,Asia,China,116071.7696,116071.7696
2015,Exports,Asia,Mongolia,69.161103,69.161103
2015,Exports,Asia,Korea North,4.751721,4.751721
2015,Exports,Asia,Korea South,43445.54748,43445.54748
2015,Exports,Asia,Hong Kong,37167.02295,37167.02295
2015,Exports,Asia,Taiwan,25860.08634,25860.08634
2015,Exports,Asia,Japan,62442.64646,62442.64646
2015,Exports,Australia,Australia,25035.79015,25035.79015
2015,Exports,Australia,Norfolk Island,0.350312,0.350312
2015,Exports,Australia,Cocos (Keeling) Islands,0.55762,0.55762
2015,Exports,Australia,Christmas Island,1.551179,1.551179
2015,Exports,Australia,Heard and McDonald Islands,0.913419,0.913419
